file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/dao/ThemeDao.java,com.sismics.reader.rest.dao.ThemeDao,findAll/1[com.sismics.reader.rest.dao.ServletContext],false,33,1,2,2,0,8,9,25,1,4,1,9,0,0,3,3,0,0,0,0,4,0,5,0,0,0,34,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestStarredResource.java,com.sismics.reader.rest.TestStarredResource,testStarredResource/0,false,24,3,0,0,0,1,16,61,0,9,0,16,0,0,0,0,0,0,31,9,20,3,0,0,0,0,44,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testIssue110/0,false,504,5,0,0,0,1,11,15,0,5,0,11,0,0,0,0,0,0,9,0,5,0,0,0,0,0,49,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testSubscriptionImportOpml/0,false,403,6,0,0,0,2,24,33,0,11,0,24,0,0,0,0,0,0,15,6,12,0,0,0,0,0,58,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testArticleDate/0,false,211,3,0,0,0,1,17,23,0,6,0,17,0,0,0,0,0,0,15,2,7,1,0,0,0,0,43,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testIssue119/0,false,535,4,0,0,0,1,14,36,0,3,0,14,0,0,0,0,0,0,21,4,11,3,0,0,0,0,54,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testSubscriptionSynchronizationResource/0,false,348,3,0,0,0,2,21,37,0,9,0,21,0,0,0,0,0,0,19,9,11,2,1,0,0,1,52,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testDeletedArticle/0,false,245,3,0,0,0,1,19,78,0,8,0,19,0,0,0,0,0,0,52,20,34,3,0,0,0,0,50,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testSubscriptionAddResource/0,false,35,3,0,0,0,2,25,128,0,15,0,25,0,0,0,0,0,0,101,18,41,14,0,0,0,0,55,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,testSubscriptionImportTakeout/0,false,453,6,0,0,0,2,21,33,0,11,0,21,0,0,0,0,0,0,14,7,13,0,0,0,0,0,56,1,0,true
