file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/dao/ThemeDao.java,com.sismics.reader.rest.dao.ThemeDao,class,1,3,2,1,8,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,0,29,1,3,3,0,0,4,0,6,0,8,5,0,0,1,45,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestStarredResource.java,com.sismics.reader.rest.TestStarredResource,class,4,4,0,4,1,2,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,31,9,20,3,9,0,0,0,0,48,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestSubscriptionResource.java,com.sismics.reader.rest.TestSubscriptionResource,class,7,7,0,7,12,2,0,41,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,383,0,0,0,0,0,246,66,132,23,66,1,0,0,1,122,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestAllResource.java,com.sismics.reader.rest.TestAllResource,class,4,4,0,4,2,2,0,20,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,58,19,40,2,14,0,0,0,0,51,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestSecurity.java,com.sismics.reader.rest.TestSecurity,class,5,5,0,5,2,2,0,20,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,28,0,5,1,4,0,0,0,0,48,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestAppResource.java,com.sismics.reader.rest.TestAppResource,class,6,6,0,6,10,2,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,1,0,0,29,10,14,1,12,1,0,0,0,56,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/LocaleResource.java,com.sismics.reader.rest.resource.LocaleResource,class,8,8,0,8,2,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,3,0,5,0,5,1,0,0,0,25,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/assembler/ArticleAssembler.java,com.sismics.reader.rest.assembler.ArticleAssembler,class,2,7,5,2,5,1,0,17,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,4,0,0,17,0,3,0,3,1,0,0,0,22,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/SearchResource.java,com.sismics.reader.rest.resource.SearchResource,class,13,13,0,13,4,2,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,1,1,0,1,0,10,0,4,0,4,1,0,0,0,41,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/SubscriptionResource.java,com.sismics.reader.rest.resource.SubscriptionResource,class,44,44,0,44,55,2,0,109,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,354,10,5,12,5,0,131,15,109,2,96,4,0,0,2,185,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/util/ValidationUtil.java,com.sismics.reader.rest.util.ValidationUtil,class,5,6,1,5,8,1,0,6,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,36,4,0,1,0,0,8,0,6,2,4,2,0,0,0,45,1,0
