file,class,method,variable,usage
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/util/DateUtil.java,com.sismics.util.DateUtil,"parseDate/2[java.lang.String,com.sismics.util.DateTimeFormatter]",log,2
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/util/DateUtil.java,com.sismics.util.DateUtil,guessTimezoneOffset/1[java.lang.String],TIMEZONE_CODE_MAP,1
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/jpa/dto/Enclosure.java,com.sismics.reader.core.dao.jpa.dto.Enclosure,setEnclosureLength/1[java.lang.Integer],enclosureLength,3
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/jpa/dto/Enclosure.java,com.sismics.reader.core.dao.jpa.dto.Enclosure,getEnclosureType/0,enclosureType,1
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/jpa/dto/Enclosure.java,com.sismics.reader.core.dao.jpa.dto.Enclosure,setEnclosureType/1[java.lang.String],enclosureType,3
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/jpa/dto/Enclosure.java,com.sismics.reader.core.dao.jpa.dto.Enclosure,setEnclosureUrl/1[java.lang.String],enclosureUrl,3
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/jpa/dto/Enclosure.java,com.sismics.reader.core.dao.jpa.dto.Enclosure,getEnclosureLength/0,enclosureLength,1
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/jpa/dto/Enclosure.java,com.sismics.reader.core.dao.jpa.dto.Enclosure,getEnclosureUrl/0,enclosureUrl,1
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/file/rss/AtomLink.java,com.sismics.reader.core.dao.file.rss.AtomLink,getHref/0,href,1
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/file/rss/AtomLink.java,com.sismics.reader.core.dao.file.rss.AtomLink,setType/1[java.lang.String],type,4
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./ck-analysis/reader-core/src/main/java/com/sismics/reader/core/dao/file/rss/AtomLink.java,com.sismics.reader.core.dao.file.rss.AtomLink,getType/0,type,1
